"","GBS_weighted_mean","GBS_weighted_median","GBS_weighted_min","GBS_weighted_max","GBS_weighted_Std_dev","monthID","date","year","month"
"105",6.46122992177706,6.56375043875044,3.69160858446573,7.5,0.488729409817981,"2006jan",2006-01-01,2006,1
"106",15.8383,15.8125,13.5,18.125,0.794795,"2006jul",2006-07-01,2006,7
"107",11.112115,11.125,8.6875,13.4375,0.800135,"2006jun",2006-06-01,2006,6
"108",4.101135,4.125,2.5,5.5625,0.49264,"2006mar",2006-03-01,2006,3
"109",6.15769927478377,6.12125748502994,3.6583499667332,8.51236416056775,0.84206880239521,"2006may",2006-05-01,2006,5
"110",10.4753588140053,10.4940295486744,4.40485225662821,13.0557832422587,1.06527550495851,"2006nov",2006-11-01,2006,11
"111",14.476765,14.5,12.75,17,0.46529,"2006oct",2006-10-01,2006,10
"112",16.036145,16.1875,13.3125,17.75,0.679865,"2006sep",2006-09-01,2006,9
"113",4.352555,4.4375,2.375,5.75,0.658775,"2007apr",2007-04-01,2007,4
"114",16.37172,16.4375,13.625,18.625,0.897015,"2007aug",2007-08-01,2007,8
"115",6.46545328805886,6.46727032635352,4.81821826070553,7.64905206564799,0.422605615921524,"2007dec",2007-12-01,2007,12
"116",2.11016231340763,2.51502870651807,-1.40479229989868,6.12360688956434,1.80910278959811,"2007feb",2007-02-01,2007,2
"117",6.90218554114289,7.06404943156208,3.93863624981219,8.06363624981219,0.681727740271448,"2007jan",2007-01-01,2007,1
"118",14.95801,15.25,12,16.875,0.983885,"2007jul",2007-07-01,2007,7
"119",9.209815,9.1875,7.5625,11.25,0.727065,"2007jun",2007-06-01,2007,6
"120",4.15306,4.25,2.4375,5.0625,0.51255,"2007mar",2007-03-01,2007,3
"121",6.317025,6.4375,4.375,8.8125,0.776245,"2007may",2007-05-01,2007,5
"122",10.1620477508091,10.2556634304207,7.00707928802589,12.2599110032362,0.636040800970874,"2007nov",2007-11-01,2007,11
"123",13.60573,13.5,12.6875,15.5625,0.48525,"2007oct",2007-10-01,2007,10
"124",15.685185,15.6875,14.4375,17.0625,0.423015,"2007sep",2007-09-01,2007,9
"125",4.96398,5.125,3.5625,5.9375,0.5001,"2008apr",2008-04-01,2008,4
"126",16.515935,16.4375,13.625,19.0625,0.63629,"2008aug",2008-08-01,2008,8
